Tweet Posted Time (UTC),Tweet Content,Tweet Location,Emotion
2020-04-19,"#IndianFlag Switzerland has expressed solidarity with India in its fight against the coronavirus pandemic by projecting the tricolour on the famous Matterhorn mountain in the Swiss Alps to give ""hope and strength"" to all Indians. ",Bihar,neutral
2020-04-19,I salute your works as DM of Katihar in critical situations against coronavirus fighting. https://katihar.nic.in/whoswho/kanwaltanujias/,Bihar,neutral
2020-04-19,2% of known recovered patients in South Korea have retested positive for coronavirus  according to the country's Centers for Disease Control and Prevention ,Bihar,surprise
2020-04-19,Here is a list of what will remain open all over India with effect from 20th April 2020. This will NOT be applicable in the containment zones. Let us all fight together against #Covid19 #IndiaFightsCorona #StayHomeStaySafe,Bihar,neutral
2020-04-19,Smt @priyankagandhi Gandhi Vadra appeals to the nation to help the poor daily wage earners &amp; migrant workers who have been the hardest hit as a result of the COVID19 crisis. We must find solutions to mitigate this hardship faced by lakhs of our countrymen &amp; women. #COVID,Bihar,neutral
2020-04-19,@DDNewsHindi #IndiaFightsCorona Kisan Rath app for farmers via NaMo App ,Bihar,neutral
2020-04-19,@narendramodi @PMOIndia @NitishKumar #IndiaFightsCorona Sectors exempt from lockdown via NaMo App ,Bihar,neutral
2020-04-19,@narendramodi @PMOIndia #IndiaFightsCorona Given the scale of the challenge  India's response to COVID-19 has been backed by coordinated action plans. India’s proactive plans hold lessons for the other countries too. via NaMo App,Bihar,anger
2020-04-19,Great work by the team of Nagarnausa. #IndiaFightsCorona #COVID2019india #BiharFightsCorona,Bihar,joy
2020-04-19,Here is a list of what will remain open all over India with effect from 20th April 2020. This will NOT be applicable in the containment zones. Let us all fight together against #Covid19 #IndiaFightsCorona #StayHomeStaySafe,Bihar,neutral
2020-04-19,#IndiaFightsCorona Guidelines for construction workers via NaMo App ,Bihar,neutral
2020-04-19,#IndiaFightsCorona India’s efforts bearing results via NaMo App ,Bihar,neutral
2020-04-19,#Dilsethankyou To all Doctor   Nurses  Police Officers  Cleaning Staffs  Nagar Nigam Raipur   Ngo’s And All Those Who Are Giving There Effords Against Corona virus (COVID19) ,Chhattisgarh,anger
2020-04-19,#Dilsethankyou To all Doctor   Nurses  Police Officers  Cleaning Staffs  Nagar Nigam Raipur   Ngo’s And All Those Who Are Giving There Effords Against Corona virus (COVID19) ,Chhattisgarh,anger
2020-04-19,How much do you know about #COVID19 and how to #staysafe? Take this quiz and please share with your networks  esp. children &amp; young people. Please click on the link to take the quiz: https://wa.me/919650414141?text=corona Pls RT @PriyankaJShukla @RaipurPoliceCG @PIBRaipur @DPRChhattisgarh,Chhattisgarh,sadness
2020-04-19,The promptness with which Rajasthan Govt. fought against #Covid19 is worthy of praise. Whether it is a Rapid Testing or Bhilwada Model  Rajasthan has set an example under the leadership of CM @ashokgehlot51 Ji and Deputy CM @SachinPilot Ji. #RajasthanFightsCorona @INCRajasthan,Chhattisgarh,neutral
2020-04-19,100 beded Covid19 hospital being developed in Korba  Chhattisgarh. Thanks to Our CM @bhupeshbaghel Ji   @ChhattisgarhCMO   Health minister H'nble @TS_SinghDeo Ji,Chhattisgarh,joy
